timestamp,open,high,low,close,volume
2025-02-14 20:48:00,97615.38,97634.96,97588.49,97625.52,18.53829
2025-02-14 20:49:00,97625.51,97625.52,97592.81,97597.16,8.06573
2025-02-14 20:50:00,97597.17,97614.74,97530.0,97540.0,22.48783
2025-02-14 20:51:00,97539.99,97540.0,97366.39,97405.37,72.62505
2025-02-14 20:52:00,97405.38,97520.0,97405.38,97509.44,11.37491
2025-02-14 20:53:00,97509.44,97533.34,97438.21,97455.98,34.12774
2025-02-14 20:54:00,97455.98,97532.34,97438.01,97504.49,12.34876
2025-02-14 20:55:00,97504.48,97504.48,97368.13,97379.44,17.56789
2025-02-14 20:56:00,97379.44,97379.46,97306.03,97306.04,10.48877
2025-02-14 20:57:00,97306.04,97339.39,97185.18,97210.21,32.20001
2025-02-14 20:58:00,97210.22,97210.22,97003.28,97117.77,92.60821
2025-02-14 20:59:00,97117.77,97271.99,97117.77,97196.09,61.87264
2025-02-14 21:00:00,97196.1,97218.67,97100.0,97112.67,20.36148
2025-02-14 21:01:00,97112.67,97215.68,97056.88,97194.64,20.52165
2025-02-14 21:02:00,97194.64,97330.4,97189.77,97311.62,27.1968
2025-02-14 21:03:00,97311.61,97331.96,97264.56,97314.44,17.71986
2025-02-14 21:04:00,97314.44,97314.44,97263.23,97291.32,4.50338
2025-02-14 21:05:00,97291.32,97294.03,97122.85,97123.39,26.81128
2025-02-14 21:06:00,97123.38,97205.5,97109.57,97205.49,14.04216
2025-02-14 21:07:00,97205.49,97205.5,97083.0,97094.34,15.48727
2025-02-14 21:08:00,97094.33,97094.34,96911.5,96985.72,68.2754
2025-02-14 21:09:00,96985.72,96996.01,96908.0,96910.17,19.80845
2025-02-14 21:10:00,96910.17,96957.64,96800.49,96811.95,45.52864
2025-02-14 21:11:00,96811.94,96835.72,96712.5,96733.0,77.96098
2025-02-14 21:12:00,96733.0,96767.2,96697.56,96750.44,43.40603
2025-02-14 21:13:00,96750.44,96878.78,96750.44,96817.99,39.79179
2025-02-14 21:14:00,96817.99,96909.16,96817.99,96893.96,34.42297
2025-02-14 21:15:00,96893.97,96893.97,96761.29,96802.49,33.50502
2025-02-14 21:16:00,96802.5,96822.97,96756.01,96802.75,29.39542
2025-02-14 21:17:00,96802.74,96920.65,96802.74,96828.72,31.05169
2025-02-14 21:18:00,96828.72,96999.7,96820.1,96999.69,23.57167
2025-02-14 21:19:00,96999.7,97080.42,96991.04,97026.2,28.48655
2025-02-14 21:20:00,97026.21,97026.21,96905.86,96921.35,28.67401
2025-02-14 21:21:00,96921.35,96985.0,96921.35,96958.16,13.68405
2025-02-14 21:22:00,96958.16,97018.87,96958.15,97011.53,8.13617
2025-02-14 21:23:00,97011.53,97058.49,97011.53,97052.47,16.51004
2025-02-14 21:24:00,97052.46,97098.05,97043.18,97098.05,13.41562
2025-02-14 21:25:00,97098.05,97153.01,97092.92,97141.61,20.37425
2025-02-14 21:26:00,97141.62,97199.0,97141.61,97161.79,12.78421
2025-02-14 21:27:00,97161.79,97184.49,97103.62,97103.62,23.83143
2025-02-14 21:28:00,97103.62,97114.64,97050.0,97083.62,15.59295
2025-02-14 21:29:00,97083.62,97092.53,97079.12,97079.12,1.91235
2025-02-14 21:30:00,97079.13,97138.13,97059.25,97138.12,15.84476
2025-02-14 21:31:00,97138.13,97277.78,97138.12,97268.06,40.02573
2025-02-14 21:32:00,97268.06,97277.78,97264.87,97264.88,6.24581
2025-02-14 21:33:00,97264.88,97302.3,97200.01,97250.26,13.42395
2025-02-14 21:34:00,97250.27,97250.27,97177.1,97211.6,6.32484
2025-02-14 21:35:00,97211.59,97256.23,97194.03,97197.76,11.65796
2025-02-14 21:36:00,97197.64,97258.79,97197.63,97258.79,7.07232
2025-02-14 21:37:00,97258.8,97378.0,97258.8,97327.77,16.19936
2025-02-14 21:38:00,97327.78,97346.34,97318.11,97335.99,7.48797
2025-02-14 21:39:00,97335.98,97394.73,97335.98,97394.72,6.37883
2025-02-14 21:40:00,97394.72,97394.73,97305.09,97317.43,10.50478
2025-02-14 21:41:00,97317.43,97358.77,97301.26,97328.07,14.29633
2025-02-14 21:42:00,97327.19,97344.86,97300.0,97344.85,5.31641
2025-02-14 21:43:00,97344.86,97358.14,97311.0,97330.05,4.53702
2025-02-14 21:44:00,97330.06,97358.5,97311.46,97311.46,5.09157
2025-02-14 21:45:00,97311.46,97355.57,97271.21,97355.56,6.87848
2025-02-14 21:46:00,97355.57,97369.6,97342.78,97369.59,2.16225
2025-02-14 21:47:00,97369.6,97424.0,97369.6,97424.0,4.93426
2025-02-14 21:48:00,97424.0,97433.21,97397.36,97397.37,2.43624
2025-02-14 21:49:00,97397.37,97405.55,97341.53,97341.54,4.89094
2025-02-14 21:50:00,97341.54,97368.18,97320.75,97320.75,3.82558
2025-02-14 21:51:00,97320.75,97388.0,97300.81,97375.01,28.40103
2025-02-14 21:52:00,97375.02,97386.81,97351.6,97379.41,5.55842
2025-02-14 21:53:00,97379.42,97384.79,97317.56,97336.78,4.77613
2025-02-14 21:54:00,97336.78,97370.97,97336.77,97370.97,2.08338
2025-02-14 21:55:00,97370.97,97396.23,97370.96,97396.23,21.52999
2025-02-14 21:56:00,97396.22,97441.06,97396.22,97441.06,9.44295
2025-02-14 21:57:00,97441.05,97488.56,97441.05,97460.27,14.02779
2025-02-14 21:58:00,97460.27,97470.67,97458.86,97461.96,7.9574
2025-02-14 21:59:00,97461.97,97492.69,97456.78,97456.79,6.703
2025-02-14 22:00:00,97456.78,97491.69,97401.73,97491.68,8.01159
2025-02-14 22:01:00,97491.68,97529.27,97481.94,97529.27,12.27081
2025-02-14 22:02:00,97529.27,97531.63,97466.0,97531.63,17.90517
2025-02-14 22:03:00,97531.63,97538.11,97531.62,97537.23,8.97255
